Genus	Subfamily	Family	Accession	Phage	Genome	Genome size
Ignaciovirus			ON392164	Streptomyces phage AxeJC	dsDNA	37765
Ignaciovirus			MT451982	Streptomyces phage Cumberbatch	dsDNA	37566
Ikedavirus			MG324353	Corynebacterium phage phi673	dsDNA	44530
Ikedavirus			MG324354	Corynebacterium phage phi674	dsDNA	43193
Illiduovirus			PP496443	Pseudomonas phage vB_PpuM-Lauda	dsDNA	201030
Illiduovirus			PP496444	Pseudomonas phage vB_PpuM-Peetri	dsDNA	200264
Ilzatvirus			MG839019	Microbacterium phage Hamlet	dsDNA	41934
Ilzatvirus			MG839029	Microbacterium phage Ilzat	dsDNA	41525
Immutovirus			MW353175	Flavobacterium phage vB_FspM_immuto_2-6A	dsDNA	160410
Incheonvirus			KR136259	Polaribacter phage P12002L	dsDNA	48689
Incheonvirus			KR136260	Polaribacter phage P12002S	dsDNA	49847
Indlulamithivirus			MN585993	Mycobacterium phage Indlulamithi	dsDNA	71538
Inhavirus			JQ823123	Nonlabens phage P12024L	dsDNA	35652
Inhavirus			JQ823122	Nonlabens phage P12024S	dsDNA	35700
Iodovirus			EU876853	Iodobacter phage PhiPLPE	dsDNA	47453
Ionavirus			GQ357915	Delftia phage PhiW-14	dsDNA	157486
Isoldevirus			MH910037	Arthrobacter phage Isolde	dsDNA	53234
Ittyvirus			MW460249	Pseudomonas phage Itty13	dsDNA	61818
Jacevirus			MH153804	Gordonia phage Jace	dsDNA	53912
Jarrellvirus			AY616446	Bacillus phage BCASJ1c	dsDNA	41092
Jasminevirus			MF668266	Arthrobacter phage Adat	dsDNA	45428
Jasminevirus			KU160650	Arthrobacter phage Jasmine	dsDNA	46723
Jenstvirus			KT151955	Brevibacillus phage Jenst	dsDNA	126341
Jimmervirus			KC595514	Brevibacillus phage Jimmer2	dsDNA	54312
Jimmervirus			KT151956	Brevibacillus phage Osiris	dsDNA	52955
Juiceboxvirus			MH727550	Corynebacterium phage Juicebox	dsDNA	41394
Jujuvirus			MT723935	Gordonia phage Azula	dsDNA	53622
Jujuvirus			MW291016	Gordonia phage Blino	dsDNA	54168
Junavirus			KC171646	Lactobacillus phage J-1	dsDNA	40931
Junavirus			MF999224	Lactobacillus phage LJ	dsDNA	44260
Kafunavirus			AB757800	Edwardsiella phage KF-1	dsDNA	41549
Kairosalinivirus			MF580961	Salinibacter phage M31CR41-2	dsDNA	51889
Kairosalinivirus			MF629150	Salinibacter phage SRUTV-1	dsDNA	50672
Kamchatkavirus			KX965989	Aeribacillus phage AP45	dsDNA	51606
Kampevirus			MH536812	Gordonia phage Apricot	dsDNA	52195
Kelleziovirus			KU647626	Arthrobacter phage KellEzio	dsDNA	58871
Kelleziovirus			KU647627	Arthrobacter phage Kitkat	dsDNA	58560
Kelquatrovirus			MH128984	Burkholderia phage vB_BmuP_KL4	dsDNA	42250
Kimonavirus			MF472895	Mycobacterium phage Kimona	dsDNA	50283
Klausavirus			KM879463	Arthrobacter phage vB_ArtM-ArV1	dsDNA	71200
Klausavirus			MF185718	Arthrobacter phage Colucci	dsDNA	70707
Kleczkowskavirus			JX483876	Rhizobium phage RHEph04	dsDNA	53018
Klementvirus			AB720063	Xanthomonas phage CP1	dsDNA	43870
Klepvirus			OM654376	Paracoccus phage vB_PmaP_KLEP18-1	dsDNA	39110
Knuthellervirus			MG596800	Pseudomonas phage PMBT14	dsDNA	47820
Kochitakasuvirus			AB910393	Pseudomonas phage KPP25	dsDNA	64113
Kochitakasuvirus			LC102729	Pseudomonas phage PhiR18	dsDNA	63560
Kojivirus			MG925343	Microbacterium phage Golden	dsDNA	39640
Kojivirus			MG925345	Microbacterium phage Koji	dsDNA	39403
Konstantinevirus			FJ174691	Mycobacterium phage Konstantine	dsDNA	68952
Korravirus			KU160640	Arthrobacter phage Bennie	dsDNA	43075
Korravirus			MK112529	Arthrobacter phage BigMack	dsDNA	43357
Kostyavirus			JF937091	Mycobacterium phage Bask21	dsDNA	74997
Kostyavirus			AY129331	Mycobacterium phage CJW1	dsDNA	75931
Krampusvirus			MH271301	Microbacterium phage Krampus	dsDNA	56708
Krompvirus			MH744420	Streptomyces phage Kromp	dsDNA	58268
Kronosvirus			OQ330850	Caulobacter phage TMCBR4	dsDNA	42496
Kronosvirus			MH884648	Caulobacter phage Kronos	dsDNA	42424
Krylovvirus			HE611333	Pseudomonas phage tf	dsDNA	46271
Kryptosalinivirus			MF580956	Salinibacter phage M8CC-19	dsDNA	53812
Kryptosalinivirus			MF580959	Salinibacter phage M8CRM-1	dsDNA	53197
Kuleanavirus			MN484600	Arthrobacter phage Kuleana	dsDNA	38850
Kumottavirus			MK977703	Arthrobacter phage Kumotta	dsDNA	40317
Kumottavirus			MH450123	Arthrobacter phage MargaretKali	dsDNA	39448
Kungbxnavirus			LC168164	Tenacibaculum phage pT24	dsDNA	234670
Kunmingvirus			MK804891	Aeromonas phage 2_D05	dsDNA	43233
Kunmingvirus			MK804892	Aeromonas phage 4_D05	dsDNA	42249
Lacfervirus			OR048821	Lactobacillus virus LFP01	dsDNA	40562
Lacnuvirus			AY131267	Lactobacillus phage Lc-Nu	dsDNA	36466
Lacusarxvirus			KY629563	Sphingobium phage Lacusarx	dsDNA	130138
Lafunavirus			HQ141410	Lactobacillus phage LF1	dsDNA	42606
Lagaffevirus			MG711461	Faecalibacterium phage FP_Lagaffe	dsDNA	48211
Lanavirus			MK473373	Pseudomonas phage Lana	dsDNA	88403
Larmunavirus			EU246945	Lactobacillus phage Lrm1	dsDNA	39989
Laroyevirus			KU160654	Arthrobacter phage Laroye	dsDNA	60005
Laroyevirus			MF140418	Arthrobacter phage LiSara	dsDNA	60137
Lastavirus			MT251347	Klebsiella phage LASTA	dsDNA	62420
Lastavirus			MF612073	Klebsiella phage SopranoGao	dsDNA	61644
Latrobevirus			MK554696	Fusobacterium phage FNU1	dsDNA	130914
Lederbergvirus			LT714109	Salmonella phage BTP1	dsDNA	40525
Lederbergvirus			AF335538	Enterobacteria phage HK620	dsDNA	38297
Leicestervirus			LN681535	Clostridium phage phiCD111	dsDNA	41560
Leicestervirus			LN681536	Clostridium phage phiCD146	dsDNA	41507
Lentavirus			MH626557	Eggerthella phage PMBT5	dsDNA	30930
Lessievirus			AY349011	Burkholderia phage Bcep22	dsDNA	63882
Lessievirus			FJ937737	Burkholderia phage BcepIL02	dsDNA	62715
Lietduovirus			MK388689	Pantoea phage vB_PagM_LIET2	dsDNA	74710
Lightbulbvirus			KC821632	Cellulophaga phage phi4:1	dsDNA	145865
Lightbulbvirus			KC821609	Cellulophaga phage phi17:2	dsDNA	145343
Lillamyvirus			MN812208	Flavobacterium phage vB_FspS_hemulen6-1	dsDNA	39039
Lillamyvirus			MN812212	Flavobacterium phage vB_FspS_lillamy9-1	dsDNA	38268
Lilspottyvirus			MK977707	Mycobacterium phage LilSpotty	dsDNA	49798
Lilyvirus			KP296792	Bacteriophage Lily	dsDNA	44952
Lingdingyangvirus			MT074134	Bacteroides phage ARB14	dsDNA	37476
Lingdingyangvirus			OP172713	Bacteroides phage BT401P3	dsDNA	38588
Lishizhenvirus			MW748993	Pseudomonas phage BUCT566	dsDNA	49154
Llyrvirus			HQ633071	Synechococcus phage S-SKS1	dsDNA	208007
Lokivirus			KF811200	Acinetobacter phage IMEAB3	dsDNA	43050
Lokivirus			LN890663	Acinetobacter phage Loki	dsDNA	41308
Loughboroughvirus			MK673511	Salmonella phage ZCSE2	dsDNA	53965
Lowersilesiavirus			OQ101248	Acinetobacter phage Acba_3	dsDNA	55181
Lowersilesiavirus			OQ101249	Acinetobacter phage Acba_4	dsDNA	57429
Lubbockvirus			AY855346	Clostridium phage phi CD119	dsDNA	53325
Lubbockvirus			LK985322	Clostridium phage phiCDHM19	dsDNA	54295
Luchadorvirus			MT522004	Mycobacterium phage Gail	dsDNA	53702
Luchadorvirus			MN310541	Mycobacterium phage Jeeves	dsDNA	52466
Luckybarnesvirus			MF668275	Brevibacterium phage LuckyBarnes	dsDNA	50774
Luckytenvirus			KU963256	Gordonia phage Lucky10	dsDNA	42979
Lughvirus			MG711464	Faecalibacterium phage FP_Lugh	dsDNA	34075
Luojiashanvirus			OR797046	Stenotrophomonas phage vB_SmaS_Bhz63	dsDNA	40472
Luojiashanvirus			MT872956	Stenotrophomonas phage phiSHP3	dsDNA	37611
Lwoffvirus			JX887877	Bacillus phage vB_BtS_BMBtp2	dsDNA	36932
Lwoffvirus			EU887664	Bacillus phage TP21-L	dsDNA	37456
Macdonaldcampvirus			MK947460	Salmonella phage vB_SenS_SB28	dsDNA	45126
Macdonaldcampvirus			AM491472	Salmonella phage Vi II-E1	dsDNA	45051
Magadivirus			KU665491	Bacillus phage Mgbh1	dsDNA	58951
Magiavirus			MT701587	Burkholderia phage Magia	dsDNA	44942
Majavirus			MK279899	Arthrobacter phage Maja	dsDNA	36776
Malagasyrosevirus			MN234170	Mycobacterium phage MalagasyRose	dsDNA	54301
Malkevirus			KT337347.1	Streptococcus phage phiARI0285-3	dsDNA	39454
Malkevirus			KY065485	Streptococcus phage IPP45	dsDNA	37387
Manovirus			MT708550	Achromobacter phage Mano	dsDNA	42452
Marchandvirus			JQ177065	Pectobacterium phage ZF40	dsDNA	48454
Mardecavirus			JX556418	Vibrio phage vB_VpaS_ MAR10	dsDNA	78751
Mardecavirus			JQ692107	Vibrio phage SSP002	dsDNA	76350
Mareflavirus			MK203850	Alteromonas phage ZP6	dsDNA	38080
Marfavirus			MG746602	Klebsiella phage vB_Kpn_F48	dsDNA	170764
Marfavirus			MN044033	Klebsiella phage Marfa	dsDNA	168532
Mariborvirus			MT635598	Bacteroides phage Bacuni_F1	dsDNA	40421
Marienburgvirus			AJ556162	Enterobacteria phage BP-4795	dsDNA	57930
Marienburgvirus			JQ347801	Escherichia phage JLK-2012	dsDNA	57198
Marvinvirus			JF704100	Mycobacterium phage Marvin	dsDNA	65100
Marvinvirus			KJ538721	Mycobacterium phage MosMoris	dsDNA	65243
Maxrubnervirus			MG596799	Pseudomonas phage PMBT3	dsDNA	87196
Mboduovirus			ON191531	Rhodococcus phage Mbo2	dsDNA	83111
Mboquatrovirus			ON191532	Rhodococcus phage Mbo4	dsDNA	46226
Mcgonagallvirus			KU998255	Gordonia phage McGonagall	dsDNA	17119
Medeavirus			MW862109	Pseudomonas phage Medea1	dsDNA	58919
Melbournevirus			JN116823	Rhodococcus phage REQ2	dsDNA	49330
Menderavirus			KR560069	Stenotrophomonas phage IME-SM1	dsDNA	159514
Menderavirus			MN098328	Stenotrophomonas phage Mendera	dsDNA	159961
Metrivirus			KU935715	Acinetobacter phage vB_AbaM_ME3	dsDNA	234900
Micavirus			MT701586	Burkholderia phage Mica	dsDNA	43707
Microwolfvirus			AY129332	Mycobacterium phage Bxz2	dsDNA	50913
Microwolfvirus			JF704098	Mycobacterium phage JHC117	dsDNA	50877
Midgardsormrvirus			MN602881	Erwinia phage Midgardsormr38	dsDNA	50485
Miecznikowavirus			KU708004	Pseudomonas phage phiAH14a	dsDNA	55060
Mieseafarmvirus			AB366653	Ralstonia phage phiRSL1	dsDNA	231255
Mimasvirus			KU574722	Pectinobbacterium phage vB_PcaM_CBB	dsDNA	378379
Mimasvirus			JN882285	Cronobacter phage vB_CsaM_GAP32	dsDNA	358663
Minunavirus			EF579802	Microbacterium phage Min1	dsDNA	46365
Minyavirus			OR599646	Pectobacterium phage PcaP2EGY	dsDNA	51385
Miyazakivirus			OP429095	Nocardia phage NS-I	dsDNA	43361
Mohonavirus			HQ641347	Vibrio phage ICP1	dsDNA	125956
Mollymurvirus			MK977705	Gordonia phage Mollymur	dsDNA	90669
Montyvirus			MG757152	Gordonia phage Adgers	dsDNA	76008
Montyvirus			MK967390	Gordonia phage Beaver	dsDNA	77394
Motookavirus			PV796108	Bacillus phage Edson	dsDNA	233813
Motookavirus			LC597490	Bacillus phage vB_BceM_WH1	dsDNA	229829
Moturavirus			MN094788	Achromobacter phage Motura	dsDNA	221431
Mudcatvirus			MF189170	Arthrobacter phage Arcadia	dsDNA	58059
Mudcatvirus			MF324906	Arthrobacter phage Cheesy	dsDNA	58739
Mufasoctovirus			MN586027	Arthrobacter phage Mufasa8	dsDNA	60205
Muldoonvirus			MN095771	Serratia phage Muldoon	dsDNA	167547
Muldoonvirus			KJ025957	Serratia phage PS2	dsDNA	167266
Muminvirus			MN812206	Flavobacterium phage vB_FspS_filifjonk9-1	dsDNA	38028
Muminvirus			MN812224	Flavobacterium phage vB_FspS_mumin9-1	dsDNA	38527
Murrayvirus			KF591601	Enterobacteria phage IME_EC2	dsDNA	41510
Murrayvirus			MK125141	Salmonella phage Lumpael	dsDNA	41126
Mushuvirus			MG711460	Faecalibacterium phage FP_Mushu	dsDNA	36636
Muvirus			AF083977	Escherichia phage Mu	dsDNA	36717
Muvirus			KP010268	Shigella phage SfMu	dsDNA	37146
Mweyongvirus			MZ436628	Microcystis phage Mwe-Yong1112-1	dsDNA	39679
Mycoabscvirus			MW353181	Mycobacterium phage phiT46-1	dsDNA	52849
Myoalterovirus			MN877442	Alteromonas phage vB_AmeM_PT11-V22	dsDNA	92760
Myradeevirus			MF141539	Mycobacterium phage MyraDee	dsDNA	50514
Myxoctovirus			AF396866	Myxococcus phage Mx8	dsDNA	49534
Namazuvirus			KY417925	Ochrobactrum phage POI1126	dsDNA	59782
Nanchangvirus			MW452562	Nocardia phage NC1	dsDNA	68913
Nanhaivirus			KY606587	Dinoroseobacter phage vB_DshS-R5C	dsDNA	77874
Neferthenavirus			MH697589	Microbacterium phage Neferthena	dsDNA	41706
Nevevirus			KJ489010	Lactococcus phage P078	dsDNA	54452
Nevevirus			KJ489011	Lactococcus phage P092	dsDNA	53513
Nickievirus			MG018927	Pseudomonas phage nickie	dsDNA	112225
Nitrunavirus			MF477236	Nocardia phage NTR1	dsDNA	65275
Nonanavirus			KJ802832	Salmonella phage 9NA	dsDNA	52869
Nonanavirus			KC139649.1	Salmonella phage SP069	dsDNA	41391
Northamptonvirus			MH001450	Mycobacterium phage Jeon	dsDNA	60908
Northamptonvirus			KY130461	Mycobacterium phage Taptic	dsDNA	60973
Nubrunavirus			MW654182	Nocardia phage KYD2	dsDNA	46380
Nubrunavirus			JN116828	Nocardia phage NBR1	dsDNA	46140
Nyceiraevirus			KX557282	Gordonia phage Nyceirae	dsDNA	41857
Nylescharonvirus			MF974396	Leptospira phage LE3	dsDNA	48288
Nylescharonvirus			MF974397	Leptospira phage LE4	dsDNA	47866
Odravirus			PV067699	Acinetobacter phage Acjo_20	dsDNA	43796
Oengusvirus			MG711463	Faecalibacterium phage FP_Oengus	dsDNA	58391
Omegavirus			JF937090	Mycobacterium phage Baka	dsDNA	111688
Omegavirus			JN698997	Mycobacterium phage Courthouse	dsDNA	110569
Oneupvirus			MK524501	Gordonia phage BrutonGaster	dsDNA	91510
Oneupvirus			KU998245	Gordonia phage OneUp	dsDNA	93577
Onyinyevirus			MN813687	Mycobacterium phage Onyinye	dsDNA	71419
Oonoonbavirus			JX556417	Vibrio phage vB_VpaM_MAR	dsDNA	41351
Oonoonbavirus			AY133112	Vibrio phage VHML	dsDNA	43198
Oscarsovirus			OP434449	Microbacterium phage OscarSo	dsDNA	33432
Oshimavirus			EU100883	Thermus phage P23-45	dsDNA	84201
Oshimavirus			EU100884	Thermus phage P74-26	dsDNA	83319
Paclarkvirus			KT337358	Streptococcus phage phiARI0468-4	dsDNA	37395
Paclarkvirus			HF563658	Streptococcus phage phiBHN167	dsDNA	37375
Pagevirus			KF669655	Bacillus phage Page	dsDNA	39874
Pagevirus			KP411017	Bacillus phage Palmer	dsDNA	40000
Pahexavirus			JX262225	Propionibacterium phage ATCC29399B_C	dsDNA	29516
Pahexavirus			JX262224	Propionibacterium phage ATCC29399B_T	dsDNA	29516
Pankowvirus			FJ188381	Stx2-converting phage 1717	dsDNA	62147
Pankowvirus			FM180578	Enterobacteria phage 2851	dsDNA	57248
Papyrusvirus			KF416342	Mycobacterium phage Papyrus	dsDNA	70657
Papyrusvirus			JF704112	Mycobacterium phage Send513	dsDNA	71547
Parlovirus			MK618715	Serratia phage Parlo	dsDNA	62853
Patiencevirus			JN412589	Mycobacterium phage Patience	dsDNA	70506
Pavtokvirus			MH426726	Erwinia phage Pavtok	dsDNA	61401
Pavtokvirus			JN585957	Erwinia phage PEp14	dsDNA	60714
Peebenunavirus			MK291441	Paracoccus phage vB_PbeS_Pben1	dsDNA	39879
Peekonunavirus			MK291442	Paracoccus phage vB_PkoS_Pkon1	dsDNA	49723
Peesulunavirus			MK291443	Paracoccus phage vB_PsuS_Psul1	dsDNA	37901
Peethiunavirus			MK291444	Paracoccus phage vB_PthS_Pthi1	dsDNA	39547
Peetremavirus			PV089522	Mycobacterium phage P3MA	dsDNA	41151
Peetremavirus			MW314853	Mycobacterium phage phiGD34-2	dsDNA	40005
Peeyeiunavirus			MK291445	Paracoccus phage vB_PyeM_Pyei1	dsDNA	50161
Pemunavirus			AB711120	Bacillus phage PM1	dsDNA	50861
Pepyhexavirus			GU580941	Rhodococcus phage ReqiPepy6	dsDNA	76797
Pepyhexavirus			GU580942	Rhodococcus phage ReqiPoco6	dsDNA	78064
Perisivirus			JN939332	Brucella phage Pr	dsDNA	38253
Perisivirus			JN939331	Brucella phage Tb	dsDNA	41148
Persistencevirus			MW712719	Arthrobacter phage Persistence	dsDNA	50433
Phabquatrovirus			MF663786	Bordetella phage vB_BbrM_PHB04	dsDNA	94005
Pharaohvirus			MK524530	Mycobacterium phage Pharaoh	dsDNA	50346
Pharaohvirus			MH513984	Mycobacterium phage Steamy	dsDNA	53420
Phifelvirus			GQ478081	Enterococcus phage phiFL1A	dsDNA	38764
Phifelvirus			GQ478084	Enterococcus phage phiFL2A	dsDNA	36270
Phleivirus			KT206225	Mycobacterium phage Phlei	dsDNA	50418
Phrappuccinovirus			MK937592	Mycobacterium phage Phrappuccino	dsDNA	136361
Picardvirus			KY092480	Streptomyces phage Picard	dsDNA	39522
Pikminvirus			MG944218	Microbacterium phage Pikmin	dsDNA	39307
Piorkowskivirus			KX879641	Streptococcus phage CHPC577	dsDNA	35129
Piorkowskivirus			KX879642	Streptococcus phage CHPC926	dsDNA	30077
Plaisancevirus			KU862660	Pseudomonas phage phiPMW	dsDNA	103218
Plateaulakevirus			MK804893	Aeromonas phage 2L372D	dsDNA	122963
Plateaulakevirus			MK813938	Aeromonas phage 2L372X	dsDNA	115893
Pleeduovirus			KU848187	Lactobacillus phage PLE2	dsDNA	35068
Pleetrevirus			KR905069	Lactobacillus phage iLp84	dsDNA	39399
Pleetrevirus			KU848186	Lactobacillus phage PLE3	dsDNA	41005
Polybotosvirus			MF403008	Agrobacterium phage Atu_ph07	dsDNA	490380
Popoffvirus			JQ177063	Aeromonas phage vB_AsaM-56	dsDNA	43551
Porunavirus			KT716399	Pseudomonas phage POR1	dsDNA	55349
Poushouvirus			MF197383	Corynebacterium phage Poushou	dsDNA	40353
Powerballvirus			MN234218	Gordonia phage Powerball	dsDNA	47680
Predatorvirus			EU770222	Mycobacterium phage Predator	dsDNA	70110
Psavirus			JX120799	Listeria phage LP-030-2	dsDNA	38275
Psavirus			AJ312240	Listeria phage PSA	dsDNA	37618
Pukovnikvirus			KU568494	Mycobacterium phage Bactobuster	dsDNA	52129
Pukovnikvirus			MK279857	Mycobacterium phage IronMan	dsDNA	53467
Pulverervirus			KU984979	Propionibacterium phage PFR1	dsDNA	38071
Pumpernickelvirus			OK040790	Microbacterium phage Pumpernickel	dsDNA	186095
Punavirus			AF234172	Escherichia phage P1	dsDNA	94800
Punavirus			FO818745	Escherichia phage RCS47	dsDNA	115154
Puppervirus			MK977695	Gordonia phage Pupper	dsDNA	150830
Purivirus			OM418631	Pseudomonas phage UFJF_PfDIW6	dsDNA	42322
Qingdaovirus			MF370964	Pseudoalteromonas phage J2-1	dsDNA	120295
Questintvirus			DQ490056	Lactococcus phage Q54	dsDNA	26537
Quivirus			MN183282	Arthrobacter phage Qui	dsDNA	113685
Rahariannevirus			MT740745	Ralstonia phage Raharianne	dsDNA	46321
Raleighvirus			MH825699	Streptomyces phage Darolandstone	dsDNA	40725
Raleighvirus			KY092484	Streptomyces phage Raleigh	dsDNA	40785
Rauchvirus			AY029185	Bordetella phage BPP-1	dsDNA	42493
Ravarandavirus			MK605242	Nodularia phage vB_NspS-kac65v151	dsDNA	146618
Ravarandavirus			MK605245	Nodularia phage vB_NspS-kac68v161	dsDNA	145400
Ravinvirus			AF064539	Escherichia phage N15	dsDNA	46375
Rcapmuvirus			JN190960	Rhodobacter phage RcapMu	dsDNA	39283
Rcapmuvirus			MW677528	Rhodobacter phage RcWaterboi	dsDNA	38301
Readingvirus			MT104475	Pseudomonas phage MR15	dsDNA	51347
Readingvirus			KJ507100	Pseudomonas phage phiPSA1	dsDNA	51090
Refugevirus			KX657793	Mycobacterium phage DarthPhader	dsDNA	53432
Refugevirus			MK494113	Mycobacterium phage Refuge	dsDNA	53594
Reqipinevirus			GU580943	Rhodococcus phage ReqiPine5	dsDNA	59231
Rerduovirus			MF324898	Rhodococcus phage Hiro	dsDNA	46854
Rerduovirus			MW291027	Rhodococcus phage PhailMary	dsDNA	45614
Reynauldvirus			OR159659	Rhodococcus phage Reynauld	dsDNA	80980
Ribunavirus			JF974315	Rhizobium phage RR1-B	dsDNA	37378
Richievirus			MH834598	Arthrobacter phage Auxilium	dsDNA	49447
Richievirus			MH834625	Arthrobacter phage Richie	dsDNA	53867
Ricunavirus			JF974308	Rhodobacter phage RC1	dsDNA	39573
Rigallicvirus			KF977490	Rhizobium phage vB_RglS_P106B	dsDNA	56024
Rimavirus			MF467948	Streptomyces phage DrGrey	dsDNA	56076
Rimavirus			KX670790	Streptomyces phage Rima	dsDNA	56168
Rivsvirus			MW366843	Erwinia phage pEa_SNUABM_5	dsDNA	267169
Rockefellervirus			DQ831957	Staphylococcus phage CNPH82	dsDNA	43420
Rockefellervirus			KU598975	Staphylococcus phage CNPx	dsDNA	43293
Rockvillevirus			KT970645	Bacillus phage phi4J1	dsDNA	41486
Rogerhendrixvirus			MH183162	Microbacterium phage Hendrix	dsDNA	97757
Ronaldovirus			MH479913	Gordonia phage Fryberger	dsDNA	67234
Ronaldovirus			MH479925	Gordonia phage Ronaldo	dsDNA	68389
Rosariovirus			MN103533	Mycobacterium phage Weirdo19	dsDNA	52581
Rosemountvirus			MT074439	Salmonella phage birk	dsDNA	52767
Rosemountvirus			KM366099	Salmonella phage BP63	dsDNA	52437
Roslyckyvirus			MF403009	Agrobacterium phage Atu_ph08	dsDNA	58966
Roufvirus			JF974294	Aeromonas phage pIS4-A	dsDNA	47624
Rovertvirus			MW021761	Serratia phage vB_SmaS_Rovert	dsDNA	38613
Rowavirus			MG593803	Streptomyces phage Rowa	dsDNA	42890
Ruthyvirus			MT024859	Gordonia phage DumpsterDude	dsDNA	52018
Ruthyvirus			MH536826	Gordonia phage Ruthy	dsDNA	51265
Ryyoungvirus			AY605181	Burkholderia phage BcepC6B	dsDNA	42415
Sagamiharavirus			AP018486	Mycobacterium phage PP	dsDNA	51509
Saintgironsvirus			BX571876	Leptospira phage LE1	dsDNA	73623
Salmondvirus			MH389777	Dickeya phage vB_DsoM_JA11	dsDNA	255356
Salmondvirus			MH460461	Dickeya phage vB_DsoM_JA29	dsDNA	253323
Saltrevirus			KX017520	Salmonella phage 64795_sal3	dsDNA	45342
Samaravirus			MN604698	Bacillus phage vB_BcM_Sam46	dsDNA	45419
Samunavirus			KU245542	Pseudomonas phage SM1	dsDNA	93191
Sandinevirus			AJ245616	Lactococcus phage BK5-T	dsDNA	40003
Sansavirus			KT001913	Caulobacter phage Sansa	dsDNA	80297
Santafevirus			KJ192196	Mycobacterium phage 40AC	dsDNA	53396
Santhisvirus			MZ209302	Gordonia phage Jojo24	dsDNA	40579
Santhisvirus			MK814759	Gordonia phage Reyja	dsDNA	41500
Saphexavirus			AB712291	Enterococcus phage BC611	dsDNA	53996
Saphexavirus			KF192053	Enterococcus phage IME-EF1	dsDNA	57081
Sargevirus			OK040780	Arthrobacter phage Sarge	dsDNA	36407
Sarumanvirus			MK552140	Burkholderia phage BcepSaruman	dsDNA	263735
Sarumanvirus			MK552141	Burkholderia phage BcepSauron	dsDNA	262653
Sasdunavirus			GQ379227	Streptomyces phage phiSASD1	dsDNA	37068
Sashavirus			KX987158	Salmonella phage vB_SenS_Sasha	dsDNA	53263
Sasquatchvirus			KY984068	Erwinia phage vB_EamM_Y3	dsDNA	261365
Sasvirus			AJ278322	Corynebacterium phage BFK20	dsDNA	42972
Saundersvirus			KY565347	Geobacillus phage TP-84	dsDNA	47703
Sawaravirus			AP012537	Stx2-converting phage Stx2a_WGPS2	dsDNA	58326
Scappvirus			MH553517	Serratia phage Scapp	dsDNA	42969
Scapunavirus			MF975637	Streptomyces phage Scap1	dsDNA	43060
Schmidvirus			AB647160	Helicobacter phage KHP30	dsDNA	26215
Schmidvirus			AB731695	Helicobacter phage KHP40	dsDNA	26449
Schmittlotzvirus			JQ312117	Agrobacterium phage 7-7-1	dsDNA	69391
Schnabeltiervirus			KU963252	Gordonia phage Schnabeltier	dsDNA	46895
Schubertvirus			MK308637	Microbacterium phage Schubert	dsDNA	38820
Seahorsevirus			MN512538	Vibrio phage Seahorse	dsDNA	45171
Seamegvirus			MH910041	Arthrobacter phage Seahorse	dsDNA	56481
Segzyvirus			MN737551	Salmonella phage LPSTLL	dsDNA	47243
Segzyvirus			MH791402	Salmonella phage Segz_1	dsDNA	48285
Sendosyvirus			AF157835	Hamiltonella phage APSE-1	dsDNA	36524
Sendosyvirus			EU794049	Bacteriophage APSE-2	dsDNA	39867
Seongbukvirus			HM596271	Leuconostoc phage phiMH1	dsDNA	38709
Sepahanvirus			LC779065	Yersinia phage vB_Yru_GN1	dsDNA	145093
Sepahanvirus			MW570730	Yersinia phage YerA41	dsDNA	145577
Serbinvirus			OL539452	Serratia phage vB_SmaS_Opt-155	dsDNA	42792
Serbinvirus			MK608336	Serratia phage Serbin	dsDNA	42882
Seussvirus			KT001914	Caulobacter phage Seuss	dsDNA	85138
Sextaecvirus			KF929199	Staphylococcus phage vB_SepS_SEP9	dsDNA	92417
Sextaecvirus			KJ804259	Staphylococcus phage 6ec	dsDNA	93794
Sfunavirus			KT221033	Streptomyces phage SF1	dsDNA	43150
Shandongvirus			KR534323	Pseudoalteromonas phage H101	dsDNA	131903
Sheenvirus			KP273225	Mycobacterium phage Sheen	dsDNA	52927
Sherbrookevirus			LN681540	Clostridium phage phiCD506	dsDNA	33274
Sherbrookevirus			LN681538	Clostridium phage phiCD481-1	dsDNA	32846
Shirahamavirus			AP019524	Tenacibaculum phage PTm1	dsDNA	224680
Shockervirus			MW507126	Microbacterium phage Shocker	dsDNA	45431
Shoyavirus			MN908684	Arthrobacter phage Shoya	dsDNA	37783
Shuimuvirus			KX523699	Salmonella phage IME207	dsDNA	47564
Sidiousvirus			MK967384	Gordonia phage Sidious	dsDNA	51789
Siftrevirus			KT221034	Streptomyces phage SF3	dsDNA	60934
Silentrexvirus			MW862992	Arthrobacter phage SilentRX	dsDNA	65232
Sixamavirus			MN484601	Gordonia phage Sixama	dsDNA	115454
Skarprettervirus			MK105855	Escherichia phage Skarpretter	dsDNA	42042
Skatevirus			MN692673	Salmonella phage VB_StyS_BS5	dsDNA	47604
Skatevirus			MK112901	Salmonella virus KFS-SE2	dsDNA	48608
Skogvirus			MN908687	Gordonia phage Skog	dsDNA	152435
Skulduggeryvirus			MF042361	Pseudomonas phage Skulduggery	dsDNA	62978
Skunavirus			KP793102	Lactococcus phage 936 group phage PhiA.16	dsDNA	28349
Skunavirus			JQ740787	Lactococcus phage ASCC191	dsDNA	32414
Slashvirus			KF669661	Bacillus phage Slash	dsDNA	80382
